,date,hour,type,前门
2328,20140419,20,PCA,-11.847509211828312
2328,20140419,20,PM2.5,69.0
2334,20140419,21,PCA,8.542579957318505
2334,20140419,21,PM2.5,81.0
2340,20140419,22,PCA,24.280937299436353
2340,20140419,22,PM2.5,88.0
2346,20140419,23,PCA,31.513230394240683
2346,20140419,23,PM2.5,87.0
2352,20140420,0,PCA,46.77347280975031
2352,20140420,0,PM2.5,99.0
2358,20140420,1,PCA,57.36450736496944
2358,20140420,1,PM2.5,106.0
2364,20140420,2,PCA,40.85888928626463
2364,20140420,2,PM2.5,84.0
2370,20140420,3,PCA,64.49937301533197
2370,20140420,3,PM2.5,110.0
2376,20140420,4,PCA,69.11549498495184
2376,20140420,4,PM2.5,114.0
2382,20140420,5,PCA,72.08134471401095
2382,20140420,5,PM2.5,115.0
2388,20140420,6,PCA,72.79144685603801
2388,20140420,6,PM2.5,109.0
2394,20140420,7,PCA,62.82480007701238
2394,20140420,7,PM2.5,102.0
2400,20140420,8,PCA,48.94871029224492
2400,20140420,8,PM2.5,98.0
2406,20140420,9,PCA,17.632429467112093
2406,20140420,9,PM2.5,68.0
2412,20140420,10,PCA,0.5564687584191031
2412,20140420,10,PM2.5,60.0
2418,20140420,11,PCA,-16.519491950273885
2418,20140420,11,PM2.5,52.0
2424,20140420,12,PCA,-52.28438351263872
2424,20140420,12,PM2.5,23.0
2430,20140420,13,PCA,-72.53424707265361
2430,20140420,13,PM2.5,15.0
2436,20140420,14,PCA,-90.71761054509237
2436,20140420,14,PM2.5,7.0
2442,20140420,15,PCA,-59.427983218182234
2442,20140420,15,PM2.5,46.0
2448,20140420,16,PCA,-51.32117440326774
2448,20140420,16,PM2.5,51.0
2454,20140420,17,PCA,-37.703698688150084
2454,20140420,17,PM2.5,56.0
2460,20140420,18,PCA,-26.719013938337547
2460,20140420,18,PM2.5,53.0
2466,20140420,19,PCA,-16.96909452717103
2466,20140420,19,PM2.5,60.0
2472,20140420,20,PCA,-12.78529531856744
2472,20140420,20,PM2.5,67.0
2478,20140420,21,PCA,3.8713916175316516
2478,20140420,21,PM2.5,78.0
2484,20140420,22,PCA,-0.2959687812110889
2484,20140420,22,PM2.5,66.0
2622,20140422,5,PCA,24.626757579623757
2622,20140422,5,PM2.5,55.0
2628,20140422,6,PCA,-3.5122799079202034
2628,20140422,6,PM2.5,39.0
2634,20140422,7,PCA,-16.473790599440207
2634,20140422,7,PM2.5,43.0
2640,20140422,8,PCA,-28.744575107221287
2640,20140422,8,PM2.5,48.0
