,date,hour,type,永乐店
1506,20140414,3,PM2.5,214.0
1512,20140414,4,PCA,189.03629465558564
1512,20140414,4,PM2.5,220.0
1518,20140414,5,PCA,187.71260045066072
1518,20140414,5,PM2.5,215.0
1524,20140414,6,PCA,176.0533428128954
1524,20140414,6,PM2.5,196.0
1530,20140414,7,PCA,166.61872089064164
1530,20140414,7,PM2.5,183.0
1536,20140414,8,PCA,145.29217175001855
1536,20140414,8,PM2.5,155.0
1542,20140414,9,PCA,187.47469488043947
1542,20140414,9,PM2.5,212.0
1548,20140414,10,PCA,199.70974973515246
1548,20140414,10,PM2.5,235.0
1554,20140414,11,PCA,148.06038265073218
1554,20140414,11,PM2.5,164.5
1560,20140414,12,PCA,97.3562294975081
1560,20140414,12,PM2.5,94.0
1566,20140414,13,PCA,165.2704958727554
1566,20140414,13,PM2.5,202.0
1572,20140414,14,PCA,183.66636296942252
1572,20140414,14,PM2.5,235.0
1578,20140414,15,PCA,161.13213636966105
1578,20140414,15,PM2.5,208.0
1584,20140414,16,PCA,145.71698879655517
1584,20140414,16,PM2.5,187.0
1590,20140414,17,PCA,153.69774859999643
1590,20140414,17,PM2.5,199.0
1596,20140414,18,PCA,161.68481878745592
1596,20140414,18,PM2.5,207.0
1602,20140414,19,PCA,147.507179814697
1602,20140414,19,PM2.5,180.0
1608,20140414,20,PCA,156.23836606340382
1608,20140414,20,PM2.5,184.0
1614,20140414,21,PCA,173.04154711081665
1614,20140414,21,PM2.5,197.0
1620,20140414,22,PCA,70.67756157292013
1620,20140414,22,PM2.5,68.0
1626,20140414,23,PCA,36.319636845864984
1626,20140414,23,PM2.5,29.0
1632,20140415,0,PCA,39.45784948554305
1632,20140415,0,PM2.5,41.0
1638,20140415,1,PCA,40.100841074749
1638,20140415,1,PM2.5,44.5
1644,20140415,2,PCA,39.374292409442056
1644,20140415,2,PM2.5,48.0
1650,20140415,3,PCA,40.33055080285241
1650,20140415,3,PM2.5,51.0
1656,20140415,4,PCA,50.32079460499991
1656,20140415,4,PM2.5,63.0
1662,20140415,5,PCA,46.740639424497466
1662,20140415,5,PM2.5,68.0
1818,20140416,7,PCA,-23.54944525279791
1818,20140416,7,PM2.5,56.0
1824,20140416,8,PCA,-17.439246048724204
1824,20140416,8,PM2.5,60.0
1830,20140416,9,PCA,-5.251744594833098
1830,20140416,9,PM2.5,70.0
1836,20140416,10,PCA,-13.802799024383052
1836,20140416,10,PM2.5,62.0
1842,20140416,11,PCA,-7.8230785069407816
1842,20140416,11,PM2.5,76.0
1848,20140416,12,PCA,-24.77709716596112
1848,20140416,12,PM2.5,62.0
1854,20140416,13,PCA,-32.42156816604589
1854,20140416,13,PM2.5,60.0
1860,20140416,14,PCA,-44.208510298270156
1860,20140416,14,PM2.5,53.0
1866,20140416,15,PCA,-62.128191599087906
1866,20140416,15,PM2.5,45.0
1872,20140416,16,PCA,-61.74976048102371
1872,20140416,16,PM2.5,46.0
1878,20140416,17,PCA,-55.11685406674195
1878,20140416,17,PM2.5,52.0
1884,20140416,18,PCA,-53.26012722597889
1884,20140416,18,PM2.5,50.0
1890,20140416,19,PCA,-37.64974468892145
1890,20140416,19,PM2.5,59.0
1896,20140416,20,PCA,-34.05458989112995
1896,20140416,20,PM2.5,58.0
1902,20140416,21,PCA,-12.129491263706612
1902,20140416,21,PM2.5,74.0
1908,20140416,22,PCA,15.213014035687957
1908,20140416,22,PM2.5,100.0
1914,20140416,23,PCA,5.681625162229762
1914,20140416,23,PM2.5,90.0
1920,20140417,0,PCA,-1.1561139088707408
1920,20140417,0,PM2.5,75.0
1926,20140417,1,PCA,-2.6092128161426094
1926,20140417,1,PM2.5,77.0
1932,20140417,2,PCA,10.875816474130579
1932,20140417,2,PM2.5,92.0
1938,20140417,3,PCA,18.06675511187536
1938,20140417,3,PM2.5,96.0
1944,20140417,4,PCA,26.15138270139881
1944,20140417,4,PM2.5,99.0
1950,20140417,5,PCA,34.5296546729927
1950,20140417,5,PM2.5,99.0
1956,20140417,6,PCA,38.5929607736964
1956,20140417,6,PM2.5,100.0
1962,20140417,7,PCA,24.237536059944123
1962,20140417,7,PM2.5,85.0
1968,20140417,8,PCA,25.880070255383853
1968,20140417,8,PM2.5,92.0
1974,20140417,9,PCA,13.48494748427191
1974,20140417,9,PM2.5,80.0
1980,20140417,10,PCA,18.26578224211174
1980,20140417,10,PM2.5,90.0
1986,20140417,11,PCA,45.134374815495775
1986,20140417,11,PM2.5,116.0
1992,20140417,12,PCA,50.78097705181248
1992,20140417,12,PM2.5,119.0
1998,20140417,13,PCA,43.914757881338325
1998,20140417,13,PM2.5,107.0
2004,20140417,14,PCA,30.809242134191983
2004,20140417,14,PM2.5,97.0
2010,20140417,15,PCA,12.58856554670095
2010,20140417,15,PM2.5,91.0
2016,20140417,16,PCA,-15.5465829034848
2016,20140417,16,PM2.5,72.0
2022,20140417,17,PCA,-11.048253799006565
2022,20140417,17,PM2.5,85.0
2028,20140417,18,PCA,-4.1950872109285395
2028,20140417,18,PM2.5,93.0
2034,20140417,19,PCA,-0.4445469399937346
2034,20140417,19,PM2.5,93.0
2040,20140417,20,PCA,7.379454195796592
2040,20140417,20,PM2.5,89.0
2046,20140417,21,PCA,45.240782694170676
2046,20140417,21,PM2.5,127.0
2052,20140417,22,PCA,54.399875033059644
2052,20140417,22,PM2.5,127.0
2058,20140417,23,PCA,56.234566466853465
2058,20140417,23,PM2.5,121.0
2064,20140418,0,PCA,56.18589756999427
2064,20140418,0,PM2.5,112.0
2070,20140418,1,PCA,53.50843255426794
2070,20140418,1,PM2.5,112.0
2076,20140418,2,PCA,50.77229798096047
2076,20140418,2,PM2.5,113.0
2082,20140418,3,PCA,22.97740000208741
2082,20140418,3,PM2.5,86.0
2088,20140418,4,PCA,2.586987964471264
2088,20140418,4,PM2.5,66.0
2094,20140418,5,PCA,-19.211134568727488
2094,20140418,5,PM2.5,53.0
2100,20140418,6,PCA,-27.4638413593327
2100,20140418,6,PM2.5,59.0
2106,20140418,7,PCA,-21.419323725812536
2106,20140418,7,PM2.5,73.0
2112,20140418,8,PCA,-3.701297735903636
2112,20140418,8,PM2.5,92.0
2118,20140418,9,PCA,22.12945551767896
2118,20140418,9,PM2.5,112.0
2124,20140418,10,PCA,94.44141215639098
2124,20140418,10,PM2.5,183.0
2130,20140418,11,PCA,127.86060827804921
2130,20140418,11,PM2.5,192.0
2136,20140418,12,PCA,160.6268622402055
2136,20140418,12,PM2.5,214.0
2286,20140419,13,PCA,-21.907598673322724
2286,20140419,13,PM2.5,65.0
2292,20140419,14,PCA,-15.369291422336046
2292,20140419,14,PM2.5,76.0
2298,20140419,15,PCA,-16.171682854414335
2298,20140419,15,PM2.5,74.0
2304,20140419,16,PCA,-35.13458116892028
2304,20140419,16,PM2.5,56.0
2310,20140419,17,PCA,-37.551484224732235
2310,20140419,17,PM2.5,58.0
2316,20140419,18,PCA,-53.66313840296774
2316,20140419,18,PM2.5,49.0
2322,20140419,19,PCA,-65.93151149674371
2322,20140419,19,PM2.5,37.0
2328,20140419,20,PCA,-52.82714706473897
2328,20140419,20,PM2.5,49.0
2334,20140419,21,PCA,-27.146380060088305
2334,20140419,21,PM2.5,76.0
2340,20140419,22,PCA,-12.256240626482821
2340,20140419,22,PM2.5,83.0
2346,20140419,23,PCA,14.326281038151587
2346,20140419,23,PM2.5,99.0
2352,20140420,0,PCA,13.135860241538596
2352,20140420,0,PM2.5,87.0
2358,20140420,1,PCA,14.441694545699768
2358,20140420,1,PM2.5,86.0
2364,20140420,2,PCA,7.255180048997283
2364,20140420,2,PM2.5,79.0
2370,20140420,3,PCA,-6.906110019026696
2370,20140420,3,PM2.5,67.0
2376,20140420,4,PCA,12.549243238294933
2376,20140420,4,PM2.5,92.0
2382,20140420,5,PCA,11.406202291633539
2382,20140420,5,PM2.5,90.0
2388,20140420,6,PCA,0.0972438410649467
2388,20140420,6,PM2.5,76.0
2394,20140420,7,PCA,39.301854351008956
2394,20140420,7,PM2.5,117.0
2400,20140420,8,PCA,45.93568144823923
2400,20140420,8,PM2.5,110.0
2406,20140420,9,PCA,64.3341139503977
2406,20140420,9,PM2.5,134.0
2412,20140420,10,PCA,7.48085335745608
2412,20140420,10,PM2.5,71.0
2418,20140420,11,PCA,-35.92214649861829
2418,20140420,11,PM2.5,40.0
2424,20140420,12,PCA,-58.257045074003614
2424,20140420,12,PM2.5,38.0
2430,20140420,13,PCA,-85.13592647315237
2430,20140420,13,PM2.5,28.0
2436,20140420,14,PCA,-104.13995140885206
2436,20140420,14,PM2.5,18.0
2442,20140420,15,PCA,-109.22107495347205
2442,20140420,15,PM2.5,16.0
2448,20140420,16,PCA,-109.6614023323755
2448,20140420,16,PM2.5,20.5
2454,20140420,17,PCA,-106.33549401136847
2454,20140420,17,PM2.5,25.0
2460,20140420,18,PCA,-97.11907154406892
2460,20140420,18,PM2.5,36.0
2466,20140420,19,PCA,-74.65663130008899
2466,20140420,19,PM2.5,55.0
2472,20140420,20,PCA,-65.80369157800402
2472,20140420,20,PM2.5,51.0
2478,20140420,21,PCA,-51.80295830491088
2478,20140420,21,PM2.5,49.0
2484,20140420,22,PCA,-44.409405818763005
2484,20140420,22,PM2.5,60.0
2616,20140422,4,PCA,4.1578880216062215
2616,20140422,4,PM2.5,89.0
2622,20140422,5,PCA,3.7077916112471505
2622,20140422,5,PM2.5,86.0
