,date,hour,type,天坛
1548,20140414,10,PCA,234.48033589117213
1548,20140414,10,PM2.5,235.0
1554,20140414,11,PCA,243.12752585891857
1554,20140414,11,PM2.5,248.0
1560,20140414,12,PCA,248.7132088215554
1560,20140414,12,PM2.5,263.0
1566,20140414,13,PCA,240.20792797794482
1566,20140414,13,PM2.5,260.0
1572,20140414,14,PCA,211.50939200652078
1572,20140414,14,PM2.5,231.0
1578,20140414,15,PCA,225.54304502002745
1578,20140414,15,PM2.5,254.0
1584,20140414,16,PCA,189.25834562490473
1584,20140414,16,PM2.5,204.0
1590,20140414,17,PCA,159.28264386581384
1590,20140414,17,PM2.5,160.0
1596,20140414,18,PCA,175.13175438087094
1596,20140414,18,PM2.5,179.0
1602,20140414,19,PCA,192.69042989262223
1602,20140414,19,PM2.5,199.0
1608,20140414,20,PCA,201.33820267446404
1608,20140414,20,PM2.5,199.0
1614,20140414,21,PCA,221.192967881563
1614,20140414,21,PM2.5,210.0
1620,20140414,22,PCA,225.62441856186834
1620,20140414,22,PM2.5,217.0
1626,20140414,23,PCA,127.55835109599846
1626,20140414,23,PM2.5,86.0
1632,20140415,0,PCA,104.01396426876114
1632,20140415,0,PM2.5,58.0
1638,20140415,1,PCA,93.36678412762203
1638,20140415,1,PM2.5,47.0
1644,20140415,2,PCA,86.34877487755976
1644,20140415,2,PM2.5,43.0
1650,20140415,3,PCA,80.01428442688878
1650,20140415,3,PM2.5,39.0
1656,20140415,4,PCA,89.10698338913983
1656,20140415,4,PM2.5,49.0
1662,20140415,5,PCA,87.17198883460328
1662,20140415,5,PM2.5,50.0
1818,20140416,7,PCA,-22.17237829653116
1818,20140416,7,PM2.5,49.0
1824,20140416,8,PCA,-31.36483700977374
1824,20140416,8,PM2.5,36.0
1830,20140416,9,PCA,-34.445944936774325
1830,20140416,9,PM2.5,32.0
1836,20140416,10,PCA,-41.95497447972277
1836,20140416,10,PM2.5,29.0
1842,20140416,11,PCA,-35.72715955337524
1842,20140416,11,PM2.5,43.0
1848,20140416,12,PCA,-27.874141497640785
1848,20140416,12,PM2.5,56.0
1854,20140416,13,PCA,-34.32895265234611
1854,20140416,13,PM2.5,45.0
1860,20140416,14,PCA,-28.203709607517563
1860,20140416,14,PM2.5,52.0
1866,20140416,15,PCA,-30.76686275830574
1866,20140416,15,PM2.5,49.0
1872,20140416,16,PCA,-34.3389139542836
1872,20140416,16,PM2.5,47.0
1878,20140416,17,PCA,-34.95727661393274
1878,20140416,17,PM2.5,44.0
1884,20140416,18,PCA,-29.375218764252384
1884,20140416,18,PM2.5,45.0
1890,20140416,19,PCA,-7.862828584328606
1890,20140416,19,PM2.5,62.0
1896,20140416,20,PCA,7.42290888209998
1896,20140416,20,PM2.5,63.0
1902,20140416,21,PCA,17.422375210121007
1902,20140416,21,PM2.5,69.0
1908,20140416,22,PCA,25.832485881075424
1908,20140416,22,PM2.5,75.0
1914,20140416,23,PCA,32.75671067651208
1914,20140416,23,PM2.5,84.0
1920,20140417,0,PCA,45.87971372129625
1920,20140417,0,PM2.5,94.0
1926,20140417,1,PCA,59.87671596652878
1926,20140417,1,PM2.5,101.0
1932,20140417,2,PCA,55.00414703931629
1932,20140417,2,PM2.5,91.0
1938,20140417,3,PCA,38.5262697105332
1938,20140417,3,PM2.5,73.0
1944,20140417,4,PCA,55.44806294902987
1944,20140417,4,PM2.5,92.0
1950,20140417,5,PCA,62.85353315063658
1950,20140417,5,PM2.5,106.0
1956,20140417,6,PCA,51.5834777240176
1956,20140417,6,PM2.5,94.0
1962,20140417,7,PCA,46.17657283295879
1962,20140417,7,PM2.5,84.0
1968,20140417,8,PCA,44.47301005871861
1968,20140417,8,PM2.5,83.0
1974,20140417,9,PCA,32.94903542454686
1974,20140417,9,PM2.5,71.0
1980,20140417,10,PCA,39.03756953659379
1980,20140417,10,PM2.5,85.0
1986,20140417,11,PCA,34.153691563716436
1986,20140417,11,PM2.5,86.0
1992,20140417,12,PCA,31.113587643078517
1992,20140417,12,PM2.5,87.0
1998,20140417,13,PCA,42.15015588281374
1998,20140417,13,PM2.5,97.0
2004,20140417,14,PCA,29.373313135611294
2004,20140417,14,PM2.5,85.0
2010,20140417,15,PCA,30.02321989038989
