,date,hour,type,琉璃河
1896,20140416,20,PCA,37.1734576631624
1896,20140416,20,PM2.5,116.0
1902,20140416,21,PCA,66.84638815675297
1902,20140416,21,PM2.5,134.0
1908,20140416,22,PCA,82.4015592516763
1908,20140416,22,PM2.5,140.0
1914,20140416,23,PCA,113.55549357603618
1914,20140416,23,PM2.5,162.0
1920,20140417,0,PCA,117.91081705662214
1920,20140417,0,PM2.5,158.0
1926,20140417,1,PCA,121.14984813722236
1926,20140417,1,PM2.5,155.0
1932,20140417,2,PCA,141.17006027580172
1932,20140417,2,PM2.5,174.0
1938,20140417,3,PCA,107.51931087278916
1938,20140417,3,PM2.5,137.0
1944,20140417,4,PCA,86.3496475310956
1944,20140417,4,PM2.5,122.0
1950,20140417,5,PCA,59.08783096497434
1950,20140417,5,PM2.5,104.0
1956,20140417,6,PCA,28.567717562994257
1956,20140417,6,PM2.5,90.0
1962,20140417,7,PCA,29.316361316922443
1962,20140417,7,PM2.5,99.0
1968,20140417,8,PCA,22.95938901808669
1968,20140417,8,PM2.5,98.0
1974,20140417,9,PCA,10.226616483390588
1974,20140417,9,PM2.5,91.0
1980,20140417,10,PCA,10.921031201127201
1980,20140417,10,PM2.5,95.0
1986,20140417,11,PCA,10.20155651303965
1986,20140417,11,PM2.5,92.5
1992,20140417,12,PCA,8.66192326124025
1992,20140417,12,PM2.5,90.0
1998,20140417,13,PCA,23.640844847425555
1998,20140417,13,PM2.5,108.0
2004,20140417,14,PCA,49.6364036431966
2004,20140417,14,PM2.5,134.0
2010,20140417,15,PCA,54.216665505047104
2010,20140417,15,PM2.5,136.0
2016,20140417,16,PCA,63.42484993679222
2016,20140417,16,PM2.5,139.0
2022,20140417,17,PCA,49.24808771769947
2022,20140417,17,PM2.5,117.0
2028,20140417,18,PCA,57.141316757623514
2028,20140417,18,PM2.5,128.0
2034,20140417,19,PCA,69.23534758392296
2034,20140417,19,PM2.5,141.0
2040,20140417,20,PCA,80.25119294267594
2040,20140417,20,PM2.5,148.0
2046,20140417,21,PCA,101.76868868832725
2046,20140417,21,PM2.5,158.0
2052,20140417,22,PCA,141.3336744550342
2052,20140417,22,PM2.5,195.0
2058,20140417,23,PCA,127.00394458246836
2058,20140417,23,PM2.5,167.0
2064,20140418,0,PCA,196.99133111762117
2064,20140418,0,PM2.5,238.0
2070,20140418,1,PCA,212.5191287558043
2070,20140418,1,PM2.5,239.0
2076,20140418,2,PCA,189.32720428278355
2076,20140418,2,PM2.5,208.0
2082,20140418,3,PCA,187.17288848235302
2082,20140418,3,PM2.5,199.0
2088,20140418,4,PCA,169.8484275973948
2088,20140418,4,PM2.5,186.0
2094,20140418,5,PCA,169.1155169391722
2094,20140418,5,PM2.5,195.0
2100,20140418,6,PCA,175.18408644757517
2100,20140418,6,PM2.5,203.0
2106,20140418,7,PCA,150.65103472443974
2106,20140418,7,PM2.5,174.0
2112,20140418,8,PCA,214.15283760819844
2112,20140418,8,PM2.5,246.0
2118,20140418,9,PCA,259.943983921795
2118,20140418,9,PM2.5,289.0
