,date,hour,type,官园
1536,20140414,8,PM2.5,213.0
1542,20140414,9,PCA,260.7964146920625
1542,20140414,9,PM2.5,266.0
1548,20140414,10,PCA,218.9434058045328
1548,20140414,10,PM2.5,218.5
1554,20140414,11,PCA,187.6832997776496
1554,20140414,11,PM2.5,171.0
1560,20140414,12,PCA,224.31384680673776
1560,20140414,12,PM2.5,229.0
1566,20140414,13,PCA,238.43642768436735
1566,20140414,13,PM2.5,246.0
1572,20140414,14,PCA,235.20830290335377
1572,20140414,14,PM2.5,251.0
1578,20140414,15,PCA,213.24172358876356
1578,20140414,15,PM2.5,233.0
1584,20140414,16,PCA,206.745616594619
1584,20140414,16,PM2.5,229.0
1590,20140414,17,PCA,160.72736431280234
1590,20140414,17,PM2.5,157.0
1596,20140414,18,PCA,169.66842090908298
1596,20140414,18,PM2.5,166.0
1602,20140414,19,PCA,194.62319189539494
1602,20140414,19,PM2.5,196.0
1608,20140414,20,PCA,210.10684594170527
1608,20140414,20,PM2.5,207.0
1614,20140414,21,PCA,219.54466593391746
1614,20140414,21,PM2.5,213.0
1620,20140414,22,PCA,162.54010588118348
1620,20140414,22,PM2.5,134.0
1626,20140414,23,PCA,121.25471651150076
1626,20140414,23,PM2.5,78.0
1632,20140415,0,PCA,98.15629475603536
1632,20140415,0,PM2.5,52.0
1638,20140415,1,PCA,95.78966353472484
1638,20140415,1,PM2.5,51.0
1644,20140415,2,PCA,87.42232275241463
1644,20140415,2,PM2.5,47.0
1650,20140415,3,PCA,84.04982771497582
1650,20140415,3,PM2.5,48.0
1656,20140415,4,PCA,108.0006815392393
1656,20140415,4,PM2.5,75.0
1818,20140416,7,PCA,-21.267736318732126
1818,20140416,7,PM2.5,35.0
1824,20140416,8,PCA,-21.31526157505649
1824,20140416,8,PM2.5,40.0
1830,20140416,9,PCA,-34.81700784339674
1830,20140416,9,PM2.5,31.0
1836,20140416,10,PCA,-22.503317681947355
1836,20140416,10,PM2.5,49.0
1842,20140416,11,PCA,-13.861605655379524
1842,20140416,11,PM2.5,58.0
1848,20140416,12,PCA,-26.064441896633813
1848,20140416,12,PM2.5,49.0
1854,20140416,13,PCA,-33.23474456131733
1854,20140416,13,PM2.5,40.0
1860,20140416,14,PCA,-26.06726573197316
1860,20140416,14,PM2.5,52.0
1866,20140416,15,PCA,-23.850839886684433
1866,20140416,15,PM2.5,58.0
1872,20140416,16,PCA,-27.146102733059603
1872,20140416,16,PM2.5,55.0
1878,20140416,17,PCA,-34.25644664329508
1878,20140416,17,PM2.5,46.0
1884,20140416,18,PCA,-22.75086731905286
1884,20140416,18,PM2.5,56.0
1890,20140416,19,PCA,-15.417084614887141
1890,20140416,19,PM2.5,59.0
1896,20140416,20,PCA,-2.7724883019552853
1896,20140416,20,PM2.5,66.0
1902,20140416,21,PCA,10.554563179860752
1902,20140416,21,PM2.5,70.0
1908,20140416,22,PCA,20.347356455163034
1908,20140416,22,PM2.5,75.0
1914,20140416,23,PCA,24.860607321920426
1914,20140416,23,PM2.5,78.0
1920,20140417,0,PCA,48.2735551403853
1920,20140417,0,PM2.5,95.0
1926,20140417,1,PCA,59.28700814453527
1926,20140417,1,PM2.5,96.0
1932,20140417,2,PCA,66.24897008589562
1932,20140417,2,PM2.5,97.0
1938,20140417,3,PCA,68.76030750146197
1938,20140417,3,PM2.5,96.0
1944,20140417,4,PCA,68.05199032890508
1944,20140417,4,PM2.5,96.0
1950,20140417,5,PCA,79.84048249335405
1950,20140417,5,PM2.5,111.0
1956,20140417,6,PCA,48.136556178014764
1956,20140417,6,PM2.5,78.0
1962,20140417,7,PCA,42.9948642963668
1962,20140417,7,PM2.5,77.0
1968,20140417,8,PCA,47.23455503937086
1968,20140417,8,PM2.5,86.0
1974,20140417,9,PCA,40.296930527516906
1974,20140417,9,PM2.5,86.0
1980,20140417,10,PCA,69.58499163107854
1980,20140417,10,PM2.5,115.0
1986,20140417,11,PCA,60.59374164631548
1986,20140417,11,PM2.5,103.0
1992,20140417,12,PCA,46.588652553514194
1992,20140417,12,PM2.5,88.0
1998,20140417,13,PCA,26.531261933524437
1998,20140417,13,PM2.5,70.0
2004,20140417,14,PCA,16.580032760813623
2004,20140417,14,PM2.5,75.0
2010,20140417,15,PCA,17.11655704342959
2010,20140417,15,PM2.5,83.0
2016,20140417,16,PCA,18.239262501952616
2016,20140417,16,PM2.5,86.0
2022,20140417,17,PCA,22.576892577275927
2022,20140417,17,PM2.5,86.0
2028,20140417,18,PCA,31.43624669847745
2028,20140417,18,PM2.5,90.0
2034,20140417,19,PCA,39.911568441313634
2034,20140417,19,PM2.5,98.0
2040,20140417,20,PCA,47.37432797524845
2040,20140417,20,PM2.5,105.0
2046,20140417,21,PCA,77.55269975931513
2046,20140417,21,PM2.5,131.0
2052,20140417,22,PCA,72.21082379809066
2052,20140417,22,PM2.5,112.0
2058,20140417,23,PCA,101.69453473864394
2058,20140417,23,PM2.5,144.0
2064,20140418,0,PCA,100.35639676039027
2064,20140418,0,PM2.5,122.0
2070,20140418,1,PCA,133.94265248127374
2070,20140418,1,PM2.5,152.0
2076,20140418,2,PCA,117.06041713996794
2076,20140418,2,PM2.5,122.0
2082,20140418,3,PCA,112.53476744589415
2082,20140418,3,PM2.5,125.0
2088,20140418,4,PCA,117.59341233976065
2088,20140418,4,PM2.5,131.0
2094,20140418,5,PCA,116.16755225830325
2094,20140418,5,PM2.5,135.0
2100,20140418,6,PCA,127.83164146135984
2100,20140418,6,PM2.5,144.0
2106,20140418,7,PCA,128.33207294796367
2106,20140418,7,PM2.5,141.0
2112,20140418,8,PCA,144.270253103261
