,date,hour,type,云岗
846,20140409,13,PCA,47.16239678705317
846,20140409,13,PM2.5,34.0
852,20140409,14,PCA,40.68053134128012
852,20140409,14,PM2.5,32.0
858,20140409,15,PCA,35.16790648590505
858,20140409,15,PM2.5,32.0
864,20140409,16,PCA,36.352220562154066
864,20140409,16,PM2.5,41.0
870,20140409,17,PCA,32.09001946251566
870,20140409,17,PM2.5,41.0
876,20140409,18,PCA,47.01473006825555
876,20140409,18,PM2.5,63.0
882,20140409,19,PCA,45.6821441807749
882,20140409,19,PM2.5,64.0
888,20140409,20,PCA,87.98109007577953
888,20140409,20,PM2.5,127.0
894,20140409,21,PCA,80.30413777324613
894,20140409,21,PM2.5,118.0
900,20140409,22,PCA,70.19638690820173
900,20140409,22,PM2.5,104.0
906,20140409,23,PCA,76.06207661620536
906,20140409,23,PM2.5,114.0
912,20140410,0,PCA,69.87033344993732
912,20140410,0,PM2.5,107.0
918,20140410,1,PCA,76.86424752991435
918,20140410,1,PM2.5,111.0
924,20140410,2,PCA,80.1165590000372
924,20140410,2,PM2.5,108.0
930,20140410,3,PCA,79.60581376740564
930,20140410,3,PM2.5,105.0
936,20140410,4,PCA,84.57898044362793
936,20140410,4,PM2.5,102.0
942,20140410,5,PCA,94.09571463027751
942,20140410,5,PM2.5,104.0
948,20140410,6,PCA,96.8551763983846
948,20140410,6,PM2.5,102.0
954,20140410,7,PCA,89.87271382340938
954,20140410,7,PM2.5,92.0
960,20140410,8,PCA,93.17404975820082
960,20140410,8,PM2.5,91.0
966,20140410,9,PCA,101.54233079713859
966,20140410,9,PM2.5,97.0
972,20140410,10,PCA,122.8432116242756
972,20140410,10,PM2.5,100.0
978,20140410,11,PCA,142.4169484673501
978,20140410,11,PM2.5,106.0
984,20140410,12,PCA,147.6886595030575
984,20140410,12,PM2.5,93.0
990,20140410,13,PCA,162.9482639022902
990,20140410,13,PM2.5,92.0
996,20140410,14,PCA,182.37917315464333
996,20140410,14,PM2.5,95.0
1002,20140410,15,PCA,192.9733445621875
1002,20140410,15,PM2.5,91.0
1008,20140410,16,PCA,196.06514781324134
1008,20140410,16,PM2.5,80.0
1014,20140410,17,PCA,192.46984237012714
1014,20140410,17,PM2.5,64.0
1020,20140410,18,PCA,193.20593375656108
1020,20140410,18,PM2.5,59.0
1026,20140410,19,PCA,185.26832160125326
1026,20140410,19,PM2.5,53.0
1032,20140410,20,PCA,168.2770429618896
1032,20140410,20,PM2.5,47.0
1038,20140410,21,PCA,175.43683491780956
1038,20140410,21,PM2.5,55.0
1044,20140410,22,PCA,181.8986263446333
1044,20140410,22,PM2.5,64.0
1050,20140410,23,PCA,198.95572907359255
1050,20140410,23,PM2.5,88.0
1056,20140411,0,PCA,199.8784602503134
1056,20140411,0,PM2.5,98.0
1062,20140411,1,PCA,180.77406280948253
1062,20140411,1,PM2.5,77.0
1068,20140411,2,PCA,182.57344861411164
1068,20140411,2,PM2.5,86.0
1074,20140411,3,PCA,158.81167253009187
1074,20140411,3,PM2.5,66.0
1080,20140411,4,PCA,142.17110660299858
1080,20140411,4,PM2.5,67.0
1086,20140411,5,PCA,120.63234479465208
1086,20140411,5,PM2.5,66.0
1092,20140411,6,PCA,112.56045598628745
1092,20140411,6,PM2.5,80.0
1098,20140411,7,PCA,106.95875430640915
1098,20140411,7,PM2.5,86.0
1104,20140411,8,PCA,94.43720623178862
1104,20140411,8,PM2.5,83.0
1110,20140411,9,PCA,79.55981663615752
1110,20140411,9,PM2.5,75.0
1116,20140411,10,PCA,79.70902183798275
1116,20140411,10,PM2.5,81.0
1122,20140411,11,PCA,70.62346980690309
1122,20140411,11,PM2.5,77.0
1128,20140411,12,PCA,57.809327509006835
1128,20140411,12,PM2.5,75.0
1134,20140411,13,PCA,34.57746783372505
1134,20140411,13,PM2.5,59.0
1140,20140411,14,PCA,26.179513718896356
1140,20140411,14,PM2.5,64.0
1146,20140411,15,PCA,13.15353654789199
1146,20140411,15,PM2.5,59.0
