,date,hour,type,门头沟
2016,20140417,16,PCA,45.58611000477207
2016,20140417,16,PM2.5,89.0
2022,20140417,17,PCA,45.44204450270587
2022,20140417,17,PM2.5,94.0
2028,20140417,18,PCA,44.75606119587836
2028,20140417,18,PM2.5,92.0
2034,20140417,19,PCA,77.20764121448214
2034,20140417,19,PM2.5,121.0
2040,20140417,20,PCA,69.19417513547114
2040,20140417,20,PM2.5,106.0
2046,20140417,21,PCA,78.70515379565917
2046,20140417,21,PM2.5,113.0
2052,20140417,22,PCA,97.65644605377123
2052,20140417,22,PM2.5,126.0
2058,20140417,23,PCA,119.25388707681053
2058,20140417,23,PM2.5,145.0
2064,20140418,0,PCA,136.43032940688346
2064,20140418,0,PM2.5,148.0
2070,20140418,1,PCA,158.78312668005103
2070,20140418,1,PM2.5,168.0
2076,20140418,2,PCA,150.50391837338697
2076,20140418,2,PM2.5,143.0
2082,20140418,3,PCA,158.17860245634216
2082,20140418,3,PM2.5,150.0
2088,20140418,4,PCA,156.63495495783536
2088,20140418,4,PM2.5,148.0
2094,20140418,5,PCA,150.83511431014875
2094,20140418,5,PM2.5,148.0
2100,20140418,6,PCA,170.2053180801714
2100,20140418,6,PM2.5,173.0
2106,20140418,7,PCA,171.20395563773425
2106,20140418,7,PM2.5,165.0
2112,20140418,8,PCA,149.78415419085414
2112,20140418,8,PM2.5,136.0
2118,20140418,9,PCA,185.25095187751862
2118,20140418,9,PM2.5,180.0
2124,20140418,10,PCA,165.94809947586518
2124,20140418,10,PM2.5,155.0
2130,20140418,11,PCA,167.55658889831219
2130,20140418,11,PM2.5,161.0
2136,20140418,12,PCA,187.64321353418262
2136,20140418,12,PM2.5,186.0
2286,20140419,13,PCA,-18.74578487931143
2286,20140419,13,PM2.5,44.0
2292,20140419,14,PCA,-27.796583286882306
2292,20140419,14,PM2.5,43.0
2298,20140419,15,PCA,-29.544832123934697
2298,20140419,15,PM2.5,44.0
2304,20140419,16,PCA,-16.332269523317684
2304,20140419,16,PM2.5,59.0
2310,20140419,17,PCA,-34.45775878817968
2310,20140419,17,PM2.5,36.0
2316,20140419,18,PCA,-35.99636415552706
2316,20140419,18,PM2.5,35.0
2322,20140419,19,PCA,-18.613847264835186
2322,20140419,19,PM2.5,55.0
2328,20140419,20,PCA,-12.634244265463913
2328,20140419,20,PM2.5,60.0
2334,20140419,21,PCA,13.582382383198958
2334,20140419,21,PM2.5,70.0
2340,20140419,22,PCA,22.996932741880702
2340,20140419,22,PM2.5,71.0
2346,20140419,23,PCA,30.545709635813864
2346,20140419,23,PM2.5,75.0
2352,20140420,0,PCA,44.960312466736305
2352,20140420,0,PM2.5,90.0
2358,20140420,1,PCA,22.958643209840517
2358,20140420,1,PM2.5,66.0
2364,20140420,2,PCA,7.079733365542158
2364,20140420,2,PM2.5,49.0
2370,20140420,3,PCA,10.754494535338537
2370,20140420,3,PM2.5,58.0
2376,20140420,4,PCA,14.980855663644324
2376,20140420,4,PM2.5,70.0
2382,20140420,5,PCA,23.729054250616116
2382,20140420,5,PM2.5,81.0
2388,20140420,6,PCA,24.088744550695168
2388,20140420,6,PM2.5,75.0
2394,20140420,7,PCA,13.997926574479422
2394,20140420,7,PM2.5,60.0
2400,20140420,8,PCA,23.15834888028837
2400,20140420,8,PM2.5,68.0
2406,20140420,9,PCA,49.478276759179
2406,20140420,9,PM2.5,102.0
2412,20140420,10,PCA,-3.6759705764177575
2412,20140420,10,PM2.5,47.0
2418,20140420,11,PCA,-45.67625925033883
2418,20140420,11,PM2.5,10.0
2424,20140420,12,PCA,-68.0198435817441
2424,20140420,12,PM2.5,3.0
2430,20140420,13,PCA,-85.56098302823362
2430,20140420,13,PM2.5,3.0
2436,20140420,14,PCA,-85.39647644546113
2436,20140420,14,PM2.5,3.0
2442,20140420,15,PCA,-85.31722043326529
2442,20140420,15,PM2.5,3.0
2460,20140420,18,PCA,-81.76115450982846
2460,20140420,18,PM2.5,7.0
2466,20140420,19,PCA,-56.48928659282876
2466,20140420,19,PM2.5,19.0
2472,20140420,20,PCA,-20.049565490697425
2472,20140420,20,PM2.5,57.0
2478,20140420,21,PCA,-4.037268615935251
2478,20140420,21,PM2.5,58.0
2484,20140420,22,PCA,26.417802085157614
2484,20140420,22,PM2.5,67.0
2622,20140422,5,PCA,-17.22343042690601
2622,20140422,5,PM2.5,40.0
2628,20140422,6,PCA,-14.13063498529223
2628,20140422,6,PM2.5,45.0
2634,20140422,7,PCA,-14.854411721710509
2634,20140422,7,PM2.5,39.0
2640,20140422,8,PCA,-18.78508567397292
2640,20140422,8,PM2.5,37.0
2646,20140422,9,PCA,-35.86094075017471
2646,20140422,9,PM2.5,27.0
2652,20140422,10,PCA,-21.68481407433251
2652,20140422,10,PM2.5,35.0
2658,20140422,11,PCA,-28.005712337334156
2658,20140422,11,PM2.5,37.0
2664,20140422,12,PCA,-28.154560435171792
2664,20140422,12,PM2.5,39.0
2670,20140422,13,PCA,-21.731465986898932
2670,20140422,13,PM2.5,51.0
2676,20140422,14,PCA,-25.59962785695161
2676,20140422,14,PM2.5,51.0
2682,20140422,15,PCA,-21.40576623912292
2682,20140422,15,PM2.5,55.0
