,date,hour,type,通州
1152,20140411,16,PCA,-24.071371847267628
1152,20140411,16,PM2.5,49.0
1158,20140411,17,PCA,-22.97117992162363
1158,20140411,17,PM2.5,50.0
1164,20140411,18,PCA,-29.243924390661558
1164,20140411,18,PM2.5,43.0
1170,20140411,19,PCA,-13.60169022132617
1170,20140411,19,PM2.5,56.0
1176,20140411,20,PCA,6.926709065464263
1176,20140411,20,PM2.5,71.0
1182,20140411,21,PCA,27.965984926541665
1182,20140411,21,PM2.5,98.0
1188,20140411,22,PCA,31.385921983096985
1188,20140411,22,PM2.5,103.0
1194,20140411,23,PCA,42.09364545416986
1194,20140411,23,PM2.5,115.0
1200,20140412,0,PCA,41.29409812634723
1200,20140412,0,PM2.5,116.0
1206,20140412,1,PCA,33.79310032253233
1206,20140412,1,PM2.5,106.0
1212,20140412,2,PCA,26.193833175557987
1212,20140412,2,PM2.5,98.0
1218,20140412,3,PCA,35.63676340491185
1218,20140412,3,PM2.5,113.0
1224,20140412,4,PCA,70.17849624831925
1224,20140412,4,PM2.5,154.0
1230,20140412,5,PCA,71.57522354111038
1230,20140412,5,PM2.5,154.0
1236,20140412,6,PCA,98.31086939736372
1236,20140412,6,PM2.5,189.0
1242,20140412,7,PCA,90.53320742720518
1242,20140412,7,PM2.5,172.0
1248,20140412,8,PCA,115.82391871528534
1248,20140412,8,PM2.5,196.0
1254,20140412,9,PCA,94.73766637173955
1254,20140412,9,PM2.5,161.5
1260,20140412,10,PCA,72.9749167185803
1260,20140412,10,PM2.5,127.0
1266,20140412,11,PCA,57.148232843157274
1266,20140412,11,PM2.5,106.0
1272,20140412,12,PCA,38.53928697200786
1272,20140412,12,PM2.5,98.0
1278,20140412,13,PCA,19.236716359039395
1278,20140412,13,PM2.5,81.0
1284,20140412,14,PCA,14.441162142229398
1284,20140412,14,PM2.5,76.0
1290,20140412,15,PCA,26.004298542937033
1290,20140412,15,PM2.5,90.0
1296,20140412,16,PCA,24.34353672797901
1296,20140412,16,PM2.5,87.0
1302,20140412,17,PCA,48.70534138692325
1302,20140412,17,PM2.5,111.0
1308,20140412,18,PCA,72.96264344711798
1308,20140412,18,PM2.5,131.0
1314,20140412,19,PCA,68.18494949089205
1314,20140412,19,PM2.5,113.0
1320,20140412,20,PCA,71.07516901300244
1320,20140412,20,PM2.5,109.0
1326,20140412,21,PCA,50.45114907097792
1326,20140412,21,PM2.5,80.0
1332,20140412,22,PCA,54.87135416251458
1332,20140412,22,PM2.5,79.0
1338,20140412,23,PCA,72.43149330882486
1338,20140412,23,PM2.5,95.0
1344,20140413,0,PCA,78.82202803529879
1344,20140413,0,PM2.5,103.0
1350,20140413,1,PCA,83.65483629710678
1350,20140413,1,PM2.5,112.0
1356,20140413,2,PCA,81.07827528459516
1356,20140413,2,PM2.5,111.0
1362,20140413,3,PCA,78.81008126627587
1362,20140413,3,PM2.5,111.0
1368,20140413,4,PCA,90.56259474280104
1368,20140413,4,PM2.5,130.0
1374,20140413,5,PCA,86.50677543117635
1374,20140413,5,PM2.5,129.0
1380,20140413,6,PCA,99.27297083816273
1380,20140413,6,PM2.5,153.0
1386,20140413,7,PCA,86.3842503227284
1386,20140413,7,PM2.5,137.0
1392,20140413,8,PCA,100.71182062321668
1392,20140413,8,PM2.5,157.0
1398,20140413,9,PCA,116.66479031496633
1398,20140413,9,PM2.5,178.0
1404,20140413,10,PCA,135.82292151318964
1404,20140413,10,PM2.5,210.0
1410,20140413,11,PCA,118.31956034315567
1410,20140413,11,PM2.5,183.0
1416,20140413,12,PCA,116.70955581154004
1416,20140413,12,PM2.5,191.0
1422,20140413,13,PCA,94.73634607698152
1422,20140413,13,PM2.5,167.0
1428,20140413,14,PCA,99.45980268828099
1428,20140413,14,PM2.5,174.0
1434,20140413,15,PCA,74.93043618166804
1434,20140413,15,PM2.5,144.0
1440,20140413,16,PCA,85.17606229263183
1440,20140413,16,PM2.5,158.0
1446,20140413,17,PCA,86.14011280955049
1446,20140413,17,PM2.5,158.0
1452,20140413,18,PCA,88.91671159608288
1452,20140413,18,PM2.5,160.0
1458,20140413,19,PCA,133.16360842464462
1458,20140413,19,PM2.5,202.0
1464,20140413,20,PCA,163.8876719280668
1464,20140413,20,PM2.5,224.0
1470,20140413,21,PCA,197.05981362441216
1470,20140413,21,PM2.5,238.0
1476,20140413,22,PCA,210.53609641035777
1476,20140413,22,PM2.5,241.0
1482,20140413,23,PCA,202.2900116246166
1482,20140413,23,PM2.5,217.0
1488,20140414,0,PCA,200.718478622861
1488,20140414,0,PM2.5,215.0
1494,20140414,1,PCA,198.73654881999178
1494,20140414,1,PM2.5,213.0
1500,20140414,2,PCA,195.79090894190438
1500,20140414,2,PM2.5,211.0
1506,20140414,3,PCA,212.7244443646706
1506,20140414,3,PM2.5,234.0
1512,20140414,4,PCA,198.9129471718043
1512,20140414,4,PM2.5,216.0
1518,20140414,5,PCA,194.8700137447623
1518,20140414,5,PM2.5,205.0
1524,20140414,6,PCA,167.41104508885527
1524,20140414,6,PM2.5,166.0
1530,20140414,7,PCA,195.6779152661673
1530,20140414,7,PM2.5,204.0
1536,20140414,8,PCA,177.6061855876146
