,date,hour,type,密云
1212,20140412,2,PM2.5,62.0
1218,20140412,3,PCA,0.34077756951530774
1218,20140412,3,PM2.5,65.0
1224,20140412,4,PCA,-10.726332730644392
1224,20140412,4,PM2.5,55.0
1230,20140412,5,PCA,-10.947640335426195
1230,20140412,5,PM2.5,52.0
1236,20140412,6,PCA,-9.228400229984116
1236,20140412,6,PM2.5,54.0
1242,20140412,7,PCA,-10.461744026546187
1242,20140412,7,PM2.5,51.0
1248,20140412,8,PCA,-8.022144715433093
1248,20140412,8,PM2.5,55.0
1254,20140412,9,PCA,-4.613923722140759
1254,20140412,9,PM2.5,59.5
1260,20140412,10,PCA,-0.47397008542641883
1260,20140412,10,PM2.5,64.0
1266,20140412,11,PCA,17.510856987481308
1266,20140412,11,PM2.5,86.0
1272,20140412,12,PCA,28.3176081153442
1272,20140412,12,PM2.5,100.0
1278,20140412,13,PCA,43.607916361374464
1278,20140412,13,PM2.5,117.0
1284,20140412,14,PCA,43.04969715004859
1284,20140412,14,PM2.5,110.0
1290,20140412,15,PCA,51.59718989976278
1290,20140412,15,PM2.5,116.0
1296,20140412,16,PCA,52.84182697045664
1296,20140412,16,PM2.5,116.0
1302,20140412,17,PCA,32.01481960415758
1302,20140412,17,PM2.5,85.0
1308,20140412,18,PCA,43.12737843939753
1308,20140412,18,PM2.5,98.0
1314,20140412,19,PCA,42.53338741042146
1314,20140412,19,PM2.5,92.0
1320,20140412,20,PCA,53.831453812868794
1320,20140412,20,PM2.5,107.0
1326,20140412,21,PCA,57.455470274027235
1326,20140412,21,PM2.5,109.0
1332,20140412,22,PCA,73.01461099078088
1332,20140412,22,PM2.5,125.0
1338,20140412,23,PCA,49.99484943976896
1338,20140412,23,PM2.5,93.0
1344,20140413,0,PCA,70.72856190004997
1344,20140413,0,PM2.5,116.0
1350,20140413,1,PCA,65.92381600081565
1350,20140413,1,PM2.5,108.0
1356,20140413,2,PCA,61.302879567036264
1356,20140413,2,PM2.5,100.0
1362,20140413,3,PCA,57.94440553239544
1362,20140413,3,PM2.5,92.0
1368,20140413,4,PCA,65.49305142691763
1368,20140413,4,PM2.5,97.0
1374,20140413,5,PCA,54.43060089124621
1374,20140413,5,PM2.5,83.0
1380,20140413,6,PCA,61.686527666824475
1380,20140413,6,PM2.5,92.0
1386,20140413,7,PCA,64.95759615104525
1386,20140413,7,PM2.5,97.0
1392,20140413,8,PCA,70.09489282395427
1392,20140413,8,PM2.5,103.0
1398,20140413,9,PCA,75.4996511363728
1398,20140413,9,PM2.5,108.0
1404,20140413,10,PCA,76.46429100575816
1404,20140413,10,PM2.5,108.0
1410,20140413,11,PCA,89.67031167597328
1410,20140413,11,PM2.5,126.0
1416,20140413,12,PCA,99.9074046130074
1416,20140413,12,PM2.5,140.0
