,date,hour,type,东四环
1122,20140411,11,PM2.5,49.0
1128,20140411,12,PCA,-4.0993359446860405
1128,20140411,12,PM2.5,45.0
1134,20140411,13,PCA,-12.06447382468709
1134,20140411,13,PM2.5,40.0
1140,20140411,14,PCA,-10.910027900976363
1140,20140411,14,PM2.5,50.0
1146,20140411,15,PCA,-18.57393399008339
1146,20140411,15,PM2.5,45.0
1152,20140411,16,PCA,-21.43437734287515
1152,20140411,16,PM2.5,43.0
1158,20140411,17,PCA,-12.85978277969873
1158,20140411,17,PM2.5,52.0
1164,20140411,18,PCA,-11.320196154016948
1164,20140411,18,PM2.5,52.0
1170,20140411,19,PCA,16.13634980640691
1170,20140411,19,PM2.5,76.0
1176,20140411,20,PCA,17.80701510185363
1176,20140411,20,PM2.5,74.0
1182,20140411,21,PCA,25.035392861590474
1182,20140411,21,PM2.5,87.0
1188,20140411,22,PCA,36.55906661772087
1188,20140411,22,PM2.5,101.0
1194,20140411,23,PCA,40.62608649842325
1194,20140411,23,PM2.5,106.0
1200,20140412,0,PCA,21.48833662696786
1200,20140412,0,PM2.5,83.0
1206,20140412,1,PCA,9.502036509130402
1206,20140412,1,PM2.5,76.0
1212,20140412,2,PCA,8.7906789599026
1212,20140412,2,PM2.5,71.0
1218,20140412,3,PCA,24.66128928477993
1218,20140412,3,PM2.5,89.0
1224,20140412,4,PCA,44.07523211226038
1224,20140412,4,PM2.5,106.0
1230,20140412,5,PCA,57.747473928550576
1230,20140412,5,PM2.5,127.0
1236,20140412,6,PCA,65.73222237043385
1236,20140412,6,PM2.5,135.0
1242,20140412,7,PCA,73.29695380316976
1242,20140412,7,PM2.5,149.0
1248,20140412,8,PCA,65.89848355103379
1248,20140412,8,PM2.5,139.0
1254,20140412,9,PCA,135.7592920711703
1254,20140412,9,PM2.5,234.0
1260,20140412,10,PCA,213.1802731031651
1260,20140412,10,PM2.5,329.0
1266,20140412,11,PCA,156.15529395017074
1266,20140412,11,PM2.5,233.0
1272,20140412,12,PCA,95.9641257796506
1272,20140412,12,PM2.5,159.0
1278,20140412,13,PCA,81.3053304702127
1278,20140412,13,PM2.5,143.0
1284,20140412,14,PCA,58.64761515113743
1284,20140412,14,PM2.5,114.0
1290,20140412,15,PCA,46.18254583903041
1290,20140412,15,PM2.5,92.0
1296,20140412,16,PCA,52.50556184483004
1296,20140412,16,PM2.5,101.0
1302,20140412,17,PCA,109.86933283216109
1302,20140412,17,PM2.5,178.0
1308,20140412,18,PCA,82.76375288653053
1308,20140412,18,PM2.5,134.0
1314,20140412,19,PCA,92.47159968171613
1314,20140412,19,PM2.5,131.0
1320,20140412,20,PCA,100.37502385549492
1320,20140412,20,PM2.5,127.0
1326,20140412,21,PCA,91.57199684821357
1326,20140412,21,PM2.5,108.0
1332,20140412,22,PCA,76.60595941532219
1332,20140412,22,PM2.5,84.0
1338,20140412,23,PCA,86.73577642669326
1338,20140412,23,PM2.5,99.0
1344,20140413,0,PCA,90.06383868743656
1344,20140413,0,PM2.5,103.0
1350,20140413,1,PCA,114.85468190643877
1350,20140413,1,PM2.5,135.0
1356,20140413,2,PCA,167.6736035283353
1356,20140413,2,PM2.5,205.0
1362,20140413,3,PCA,126.46623592342404
1362,20140413,3,PM2.5,142.0
1368,20140413,4,PCA,132.18832395520013
1368,20140413,4,PM2.5,150.0
1374,20140413,5,PCA,130.74755640037517
1374,20140413,5,PM2.5,148.0
1380,20140413,6,PCA,136.86746730604833
1380,20140413,6,PM2.5,157.0
1386,20140413,7,PCA,132.3398564145226
1386,20140413,7,PM2.5,152.0
1392,20140413,8,PCA,132.13053901871726
1392,20140413,8,PM2.5,151.0
1398,20140413,9,PCA,150.64158188991757
1398,20140413,9,PM2.5,173.0
1404,20140413,10,PCA,158.77576118428016
1404,20140413,10,PM2.5,195.0
1410,20140413,11,PCA,164.3767657552782
1410,20140413,11,PM2.5,203.0
1416,20140413,12,PCA,140.4057091703367
1416,20140413,12,PM2.5,172.0
1422,20140413,13,PCA,328.61758260290554
1422,20140413,13,PM2.5,441.0
1428,20140413,14,PCA,376.1136878959033
1428,20140413,14,PM2.5,512.0
1434,20140413,15,PCA,164.59835026888527
1434,20140413,15,PM2.5,205.0
1440,20140413,16,PCA,247.16689217788013
1440,20140413,16,PM2.5,317.0
1446,20140413,17,PCA,168.67156651939453
1446,20140413,17,PM2.5,209.0
1452,20140413,18,PCA,142.28074432735403
1452,20140413,18,PM2.5,167.0
1458,20140413,19,PCA,118.74032901827715
1458,20140413,19,PM2.5,132.0
1464,20140413,20,PCA,115.0833993507628
1464,20140413,20,PM2.5,123.0
1470,20140413,21,PCA,145.51256798816178
1470,20140413,21,PM2.5,148.0
1476,20140413,22,PCA,186.4784998094316
1476,20140413,22,PM2.5,170.0
1482,20140413,23,PCA,233.74089036597059
1482,20140413,23,PM2.5,224.0
1488,20140414,0,PCA,241.28916704263804
1488,20140414,0,PM2.5,234.0
1494,20140414,1,PCA,232.46289824337325
1494,20140414,1,PM2.5,227.0
1500,20140414,2,PCA,233.89130631978975
1500,20140414,2,PM2.5,235.0
1506,20140414,3,PCA,247.1458821280945
1506,20140414,3,PM2.5,254.0
1512,20140414,4,PCA,259.26721354244114
1512,20140414,4,PM2.5,259.0
1518,20140414,5,PCA,246.35695802700656
1518,20140414,5,PM2.5,239.0
1524,20140414,6,PCA,237.76904897953017
1524,20140414,6,PM2.5,226.0
1530,20140414,7,PCA,236.43807922799016
1530,20140414,7,PM2.5,222.0
1536,20140414,8,PCA,214.25076820874457
1536,20140414,8,PM2.5,190.0
1542,20140414,9,PCA,251.0139765049569
1542,20140414,9,PM2.5,236.0
1548,20140414,10,PCA,276.1600251315684
1548,20140414,10,PM2.5,266.0
1554,20140414,11,PCA,255.72506052310024
1554,20140414,11,PM2.5,236.0
1560,20140414,12,PCA,260.91384769337157
1560,20140414,12,PM2.5,245.0
1566,20140414,13,PCA,210.21937340166076
1566,20140414,13,PM2.5,183.0
1572,20140414,14,PCA,146.12692332972574
1572,20140414,14,PM2.5,121.0
1578,20140414,15,PCA,198.2449007125411
1578,20140414,15,PM2.5,209.0
1584,20140414,16,PCA,198.59174809649448
1584,20140414,16,PM2.5,216.0
1590,20140414,17,PCA,176.66504187013905
1590,20140414,17,PM2.5,190.0
1596,20140414,18,PCA,176.80735164907802
1596,20140414,18,PM2.5,183.0
1602,20140414,19,PCA,223.08446782712934
1602,20140414,19,PM2.5,249.0
1608,20140414,20,PCA,233.12063907968871
1608,20140414,20,PM2.5,230.0
1614,20140414,21,PCA,277.9099258635765
1614,20140414,21,PM2.5,265.0
1620,20140414,22,PCA,201.5316684104151
1620,20140414,22,PM2.5,187.0
1626,20140414,23,PCA,115.94042986778521
1626,20140414,23,PM2.5,82.0
1632,20140415,0,PCA,84.04480025173348
1632,20140415,0,PM2.5,47.0
1638,20140415,1,PCA,77.92204287376491
1638,20140415,1,PM2.5,45.0
1644,20140415,2,PCA,94.45314455395818
1644,20140415,2,PM2.5,46.0
1650,20140415,3,PCA,97.82041176120882
1650,20140415,3,PM2.5,55.0
1656,20140415,4,PCA,96.12794872204566
1656,20140415,4,PM2.5,63.0
1662,20140415,5,PCA,93.4381526551297
1662,20140415,5,PM2.5,67.0
1818,20140416,7,PCA,10.827679889468273
1818,20140416,7,PM2.5,58.0
1824,20140416,8,PCA,48.4225399551665
1824,20140416,8,PM2.5,127.0
1830,20140416,9,PCA,-4.098082220688055
1830,20140416,9,PM2.5,51.0
1860,20140416,14,PCA,-35.06684601852555
1860,20140416,14,PM2.5,49.0
1866,20140416,15,PCA,-16.95864745540464
1866,20140416,15,PM2.5,62.0
1872,20140416,16,PCA,-16.647571916984145
1872,20140416,16,PM2.5,53.0
1878,20140416,17,PCA,-12.447890285104078
1878,20140416,17,PM2.5,59.0
1884,20140416,18,PCA,18.073330354556344
1884,20140416,18,PM2.5,85.0
1890,20140416,19,PCA,15.337459969996743
1890,20140416,19,PM2.5,67.0
1896,20140416,20,PCA,18.360372106956337
1896,20140416,20,PM2.5,69.0
1902,20140416,21,PCA,21.752788246785535
1902,20140416,21,PM2.5,71.0
1908,20140416,22,PCA,46.96120626782136
1908,20140416,22,PM2.5,94.0
1914,20140416,23,PCA,60.12376326565289
1914,20140416,23,PM2.5,103.0
1920,20140417,0,PCA,81.14873391953255
1920,20140417,0,PM2.5,123.0
1926,20140417,1,PCA,55.67607568602838
1926,20140417,1,PM2.5,91.0
1932,20140417,2,PCA,472.95308151183207
1932,20140417,2,PM2.5,565.0
1938,20140417,3,PCA,305.5382692492095
1938,20140417,3,PM2.5,279.0
1944,20140417,4,PCA,238.28709756993692
1944,20140417,4,PM2.5,163.0
1950,20140417,5,PCA,199.8733228098997
1950,20140417,5,PM2.5,108.0
1956,20140417,6,PCA,117.24570992926877
1956,20140417,6,PM2.5,107.0
1962,20140417,7,PCA,64.94581150733725
1962,20140417,7,PM2.5,94.0
1968,20140417,8,PCA,38.01594127900783
1968,20140417,8,PM2.5,83.0
1974,20140417,9,PCA,33.56256881832164
1974,20140417,9,PM2.5,82.0
1980,20140417,10,PCA,43.910394402752196
1980,20140417,10,PM2.5,101.0
1986,20140417,11,PCA,27.445911404550873
1986,20140417,11,PM2.5,86.0
1992,20140417,12,PCA,25.791379632790647
