,date,hour,type,丰台花园
1200,20140412,0,PCA,31.610341266287353
1200,20140412,0,PM2.5,100.0
1206,20140412,1,PCA,34.77364756971633
1206,20140412,1,PM2.5,104.0
1212,20140412,2,PCA,37.00374999435092
1212,20140412,2,PM2.5,109.0
1218,20140412,3,PCA,41.523071143328266
1218,20140412,3,PM2.5,114.0
1224,20140412,4,PCA,53.407463307459224
1224,20140412,4,PM2.5,129.0
1230,20140412,5,PCA,46.46880667193242
1230,20140412,5,PM2.5,116.0
1236,20140412,6,PCA,48.68665350921697
1236,20140412,6,PM2.5,117.0
1242,20140412,7,PCA,45.46063085193765
1242,20140412,7,PM2.5,111.0
1248,20140412,8,PCA,49.41512665932825
1248,20140412,8,PM2.5,113.0
1254,20140412,9,PCA,50.07406585258087
1254,20140412,9,PM2.5,113.0
1260,20140412,10,PCA,50.73300504583349
1260,20140412,10,PM2.5,113.0
1266,20140412,11,PCA,38.873561431087445
1266,20140412,11,PM2.5,110.0
1272,20140412,12,PCA,4.950543705382685
1272,20140412,12,PM2.5,78.0
1278,20140412,13,PCA,0.6772077615197052
1278,20140412,13,PM2.5,79.0
1284,20140412,14,PCA,-0.6539449517344554
1284,20140412,14,PM2.5,78.0
1290,20140412,15,PCA,6.5943284219608485
1290,20140412,15,PM2.5,87.0
1296,20140412,16,PCA,7.072538793681384
1296,20140412,16,PM2.5,85.0
1302,20140412,17,PCA,30.90536758521326
1302,20140412,17,PM2.5,111.0
1308,20140412,18,PCA,41.986156093930575
1308,20140412,18,PM2.5,121.0
1314,20140412,19,PCA,47.525743223341294
1314,20140412,19,PM2.5,125.0
1320,20140412,20,PCA,71.0855322254063
1320,20140412,20,PM2.5,130.0
1326,20140412,21,PCA,84.7923308735657
1326,20140412,21,PM2.5,141.0
1332,20140412,22,PCA,78.95488649145238
1332,20140412,22,PM2.5,122.0
1338,20140412,23,PCA,98.55010974807331
1338,20140412,23,PM2.5,135.0
1344,20140413,0,PCA,108.46619164332621
1344,20140413,0,PM2.5,146.0
1350,20140413,1,PCA,110.81597218554006
1350,20140413,1,PM2.5,152.0
1356,20140413,2,PCA,111.09064293221154
1356,20140413,2,PM2.5,156.0
1362,20140413,3,PCA,120.93129875227437
1362,20140413,3,PM2.5,170.0
1368,20140413,4,PCA,118.81437155347426
1368,20140413,4,PM2.5,167.0
1374,20140413,5,PCA,107.1012006791371
1374,20140413,5,PM2.5,150.0
1380,20140413,6,PCA,126.98469273256313
1380,20140413,6,PM2.5,176.0
1386,20140413,7,PCA,135.8550028137116
1386,20140413,7,PM2.5,182.0
1392,20140413,8,PCA,116.65960700309948
1392,20140413,8,PM2.5,146.0
1398,20140413,9,PCA,124.89000650393635
1398,20140413,9,PM2.5,154.0
1404,20140413,10,PCA,143.87395354657278
1404,20140413,10,PM2.5,173.0
1410,20140413,11,PCA,151.028515737697
1410,20140413,11,PM2.5,183.0
1416,20140413,12,PCA,160.44754823771183
1416,20140413,12,PM2.5,203.0
1422,20140413,13,PCA,146.3465109665236
1422,20140413,13,PM2.5,209.0
1428,20140413,14,PCA,127.09210928333465
1428,20140413,14,PM2.5,187.0
1434,20140413,15,PCA,116.15929914088727
1434,20140413,15,PM2.5,171.0
1440,20140413,16,PCA,113.28388614690003
1440,20140413,16,PM2.5,165.0
1446,20140413,17,PCA,118.5965821786444
