,date,hour,type,农展馆
1080,20140411,4,PM2.5,66.0
1086,20140411,5,PCA,75.51134316627666
1086,20140411,5,PM2.5,68.0
1104,20140411,8,PCA,22.427591227639414
1104,20140411,8,PM2.5,43.0
1110,20140411,9,PCA,27.81340445255896
1110,20140411,9,PM2.5,47.0
1116,20140411,10,PCA,7.633637855684412
1116,20140411,10,PM2.5,40.0
1134,20140411,13,PCA,-12.824766661469104
1134,20140411,13,PM2.5,42.0
1140,20140411,14,PCA,-19.0835989354247
1140,20140411,14,PM2.5,42.0
1146,20140411,15,PCA,-24.31235525456618
1146,20140411,15,PM2.5,44.0
1152,20140411,16,PCA,-25.979259587865908
1152,20140411,16,PM2.5,44.5
1158,20140411,17,PCA,-28.334489961382484
1158,20140411,17,PM2.5,45.0
1176,20140411,20,PCA,-2.659043976281088
1176,20140411,20,PM2.5,61.0
1182,20140411,21,PCA,16.152630589287106
1182,20140411,21,PM2.5,78.0
1188,20140411,22,PCA,31.832239061765584
1188,20140411,22,PM2.5,95.0
1194,20140411,23,PCA,29.896809641719862
1194,20140411,23,PM2.5,95.0
1200,20140412,0,PCA,7.35136958892125
1200,20140412,0,PM2.5,73.0
1218,20140412,3,PCA,23.494610215446215
1218,20140412,3,PM2.5,87.0
1224,20140412,4,PCA,27.177101624401313
1224,20140412,4,PM2.5,92.0
1230,20140412,5,PCA,30.859593033356415
1230,20140412,5,PM2.5,97.0
1236,20140412,6,PCA,43.50152640145426
1236,20140412,6,PM2.5,111.0
1242,20140412,7,PCA,52.27246533276729
1242,20140412,7,PM2.5,119.5
1248,20140412,8,PCA,61.04340426408035
1248,20140412,8,PM2.5,128.0
1254,20140412,9,PCA,64.49034516235876
1254,20140412,9,PM2.5,127.0
1260,20140412,10,PCA,119.1699745957737
1260,20140412,10,PM2.5,193.0
1266,20140412,11,PCA,112.82413743146549
1266,20140412,11,PM2.5,176.0
1272,20140412,12,PCA,50.10673971214451
1272,20140412,12,PM2.5,112.0
1278,20140412,13,PCA,25.86156976269015
1278,20140412,13,PM2.5,92.0
1284,20140412,14,PCA,28.614403708046567
1284,20140412,14,PM2.5,97.5
1290,20140412,15,PCA,31.367237653403013
1290,20140412,15,PM2.5,103.0
1296,20140412,16,PCA,32.02417960238645
1296,20140412,16,PM2.5,101.0
1302,20140412,17,PCA,40.29166448327117
1302,20140412,17,PM2.5,108.0
1308,20140412,18,PCA,53.86516742543237
1308,20140412,18,PM2.5,117.0
1314,20140412,19,PCA,56.00899478910153
1314,20140412,19,PM2.5,115.0
1320,20140412,20,PCA,66.08185890877543
1320,20140412,20,PM2.5,120.0
1326,20140412,21,PCA,71.96016112391708
1326,20140412,21,PM2.5,108.0
1332,20140412,22,PCA,65.74470811122103
1332,20140412,22,PM2.5,88.0
1338,20140412,23,PCA,68.89386426506559
1338,20140412,23,PM2.5,86.0
1344,20140413,0,PCA,69.8201451667555
1344,20140413,0,PM2.5,93.0
1350,20140413,1,PCA,74.9289075794041
1350,20140413,1,PM2.5,115.0
1356,20140413,2,PCA,87.43591402708337
1356,20140413,2,PM2.5,130.5
1362,20140413,3,PCA,99.94292047476266
1362,20140413,3,PM2.5,146.0
1368,20140413,4,PCA,95.31146391927975
1368,20140413,4,PM2.5,126.0
1374,20140413,5,PCA,112.01943001420193
1374,20140413,5,PM2.5,141.0
1380,20140413,6,PCA,112.16918643497526
1380,20140413,6,PM2.5,142.0
1386,20140413,7,PCA,123.8522827916987
1386,20140413,7,PM2.5,158.0
1392,20140413,8,PCA,124.70200652637719
1392,20140413,8,PM2.5,157.0
1398,20140413,9,PCA,132.70076856816246
1398,20140413,9,PM2.5,165.0
1404,20140413,10,PCA,144.1923924952621
1404,20140413,10,PM2.5,188.0
1410,20140413,11,PCA,154.6736298884995
1410,20140413,11,PM2.5,203.0
1416,20140413,12,PCA,150.81647813238152
1416,20140413,12,PM2.5,202.0
1422,20140413,13,PCA,134.4843057788162
1422,20140413,13,PM2.5,187.0
1428,20140413,14,PCA,120.40267786627683
1428,20140413,14,PM2.5,185.0
1434,20140413,15,PCA,115.36255332142804
1434,20140413,15,PM2.5,180.0
1440,20140413,16,PCA,105.74341456995472
1440,20140413,16,PM2.5,163.0
1446,20140413,17,PCA,105.51070292175957
1446,20140413,17,PM2.5,159.0
1452,20140413,18,PCA,110.05100267523386
1452,20140413,18,PM2.5,159.0
1458,20140413,19,PCA,99.01058433658713
1458,20140413,19,PM2.5,134.0
1464,20140413,20,PCA,107.37177942608555
1464,20140413,20,PM2.5,132.0
1482,20140413,23,PCA,178.62158406401863
1482,20140413,23,PM2.5,188.0
1488,20140414,0,PCA,213.33925393501858
1488,20140414,0,PM2.5,219.0
1494,20140414,1,PCA,218.00408113063025
1494,20140414,1,PM2.5,230.0
1500,20140414,2,PCA,200.84516592365006
1500,20140414,2,PM2.5,208.0
1506,20140414,3,PCA,210.34631091627435
1506,20140414,3,PM2.5,213.0
1512,20140414,4,PCA,218.2308419801382
1512,20140414,4,PM2.5,223.0
1518,20140414,5,PCA,222.716502133221
1518,20140414,5,PM2.5,230.0
1524,20140414,6,PCA,211.7259056264189
1524,20140414,6,PM2.5,213.5
1530,20140414,7,PCA,200.7353091196168
