,date,hour,type,怀柔
2052,20140417,22,PM2.5,91.0
2058,20140417,23,PCA,70.26046414797345
2058,20140417,23,PM2.5,113.0
2064,20140418,0,PCA,72.91446066674855
2064,20140418,0,PM2.5,102.0
2070,20140418,1,PCA,100.37761774798969
2070,20140418,1,PM2.5,127.0
2076,20140418,2,PCA,121.66283496255119
2076,20140418,2,PM2.5,142.0
2082,20140418,3,PCA,133.27237383871523
2082,20140418,3,PM2.5,145.0
2088,20140418,4,PCA,140.55102243235942
2088,20140418,4,PM2.5,141.0
2094,20140418,5,PCA,139.59071871459733
2094,20140418,5,PM2.5,137.0
2100,20140418,6,PCA,156.56429256272136
2100,20140418,6,PM2.5,158.0
2106,20140418,7,PCA,137.73245057772482
2106,20140418,7,PM2.5,134.0
2112,20140418,8,PCA,143.1316582399259
2112,20140418,8,PM2.5,142.0
2118,20140418,9,PCA,148.30484956923115
2118,20140418,9,PM2.5,146.0
2124,20140418,10,PCA,173.71957849988416
2124,20140418,10,PM2.5,179.0
2130,20140418,11,PCA,155.75660465863837
2130,20140418,11,PM2.5,147.0
2136,20140418,12,PCA,143.9143755064908
2136,20140418,12,PM2.5,133.0
2286,20140419,13,PCA,12.759337722034038
2286,20140419,13,PM2.5,48.0
2292,20140419,14,PCA,7.553090429783024
2292,20140419,14,PM2.5,49.0
2298,20140419,15,PCA,-8.275428008302226
2298,20140419,15,PM2.5,41.0
2304,20140419,16,PCA,9.654171312074423
2304,20140419,16,PM2.5,70.0
2310,20140419,17,PCA,14.393910584691957
2310,20140419,17,PM2.5,71.0
2316,20140419,18,PCA,-0.2903595950204265
2316,20140419,18,PM2.5,49.0
2322,20140419,19,PCA,15.432303506608767
2322,20140419,19,PM2.5,64.0
2328,20140419,20,PCA,25.845867631207888
2328,20140419,20,PM2.5,76.0
2334,20140419,21,PCA,36.35823174761466
2334,20140419,21,PM2.5,86.0
2340,20140419,22,PCA,40.13533810982124
2340,20140419,22,PM2.5,82.0
2346,20140419,23,PCA,46.24743332092747
2346,20140419,23,PM2.5,85.0
2352,20140420,0,PCA,29.04764677092635
2352,20140420,0,PM2.5,65.0
2358,20140420,1,PCA,36.08260279534571
2358,20140420,1,PM2.5,80.0
2364,20140420,2,PCA,35.66911485931552
2364,20140420,2,PM2.5,81.0
2370,20140420,3,PCA,38.14025700735541
2370,20140420,3,PM2.5,86.0
2376,20140420,4,PCA,43.28839090289166
2376,20140420,4,PM2.5,86.0
2382,20140420,5,PCA,27.524092870126083
2382,20140420,5,PM2.5,63.0
2388,20140420,6,PCA,47.987026164488476
2388,20140420,6,PM2.5,91.0
2394,20140420,7,PCA,26.24726190752225
2394,20140420,7,PM2.5,67.0
2400,20140420,8,PCA,48.906970802001354
2400,20140420,8,PM2.5,98.0
2406,20140420,9,PCA,35.16917387999139
2406,20140420,9,PM2.5,71.0
2412,20140420,10,PCA,22.894567645485406
2412,20140420,10,PM2.5,61.0
2418,20140420,11,PCA,11.82969146304727
2418,20140420,11,PM2.5,51.0
2436,20140420,14,PCA,-33.333576928566984
2436,20140420,14,PM2.5,24.0
2442,20140420,15,PCA,-20.74698800309204
2442,20140420,15,PM2.5,53.0
2448,20140420,16,PCA,-30.814988785893465
2448,20140420,16,PM2.5,47.0
2454,20140420,17,PCA,-32.42644965739313
2454,20140420,17,PM2.5,41.0
2460,20140420,18,PCA,-29.885034110940335
2460,20140420,18,PM2.5,37.0
2466,20140420,19,PCA,-23.73153034301959
2466,20140420,19,PM2.5,46.0
2472,20140420,20,PCA,-6.772123891964404
2472,20140420,20,PM2.5,56.0
2478,20140420,21,PCA,7.44820785750233
2478,20140420,21,PM2.5,65.0
2484,20140420,22,PCA,30.39475948777175
2484,20140420,22,PM2.5,81.0
2616,20140422,4,PCA,-43.1005643286661
2616,20140422,4,PM2.5,21.0
2622,20140422,5,PCA,-48.28653090863665
2622,20140422,5,PM2.5,23.0
2628,20140422,6,PCA,-55.41582630999552
2628,20140422,6,PM2.5,24.0
2634,20140422,7,PCA,-47.22101688384492
2634,20140422,7,PM2.5,28.0
2640,20140422,8,PCA,-33.76558574346266
2640,20140422,8,PM2.5,33.0
