,date,hour,type,亦庄
1608,20140414,20,PM2.5,201.0
1614,20140414,21,PCA,207.56416834878448
1614,20140414,21,PM2.5,218.0
1620,20140414,22,PCA,152.40118750383695
1620,20140414,22,PM2.5,136.0
1626,20140414,23,PCA,89.30361000000839
1626,20140414,23,PM2.5,53.0
1632,20140415,0,PCA,55.62452766900261
1632,20140415,0,PM2.5,15.0
1638,20140415,1,PCA,53.28281074989712
1638,20140415,1,PM2.5,20.0
1644,20140415,2,PCA,52.358718310241166
1644,20140415,2,PM2.5,24.0
1650,20140415,3,PCA,49.200695008623114
1650,20140415,3,PM2.5,27.0
1656,20140415,4,PCA,49.94987497447283
1656,20140415,4,PM2.5,29.0
1818,20140416,7,PCA,-13.628088875587805
1818,20140416,7,PM2.5,61.0
1824,20140416,8,PCA,-18.28188493744187
1824,20140416,8,PM2.5,52.0
1830,20140416,9,PCA,-21.47393145152925
1830,20140416,9,PM2.5,41.0
1836,20140416,10,PCA,-9.740610872267963
1836,20140416,10,PM2.5,63.0
1842,20140416,11,PCA,-24.946999644120694
1842,20140416,11,PM2.5,51.0
1848,20140416,12,PCA,-25.993983735903946
1848,20140416,12,PM2.5,61.0
1854,20140416,13,PCA,-33.96273628290014
1854,20140416,13,PM2.5,51.0
1860,20140416,14,PCA,-54.129157900238454
1860,20140416,14,PM2.5,31.0
1866,20140416,15,PCA,-33.2593528935388
1866,20140416,15,PM2.5,60.0
1872,20140416,16,PCA,-45.93345747480456
1872,20140416,16,PM2.5,49.0
1878,20140416,17,PCA,-38.52431992887625
1878,20140416,17,PM2.5,51.0
1884,20140416,18,PCA,-17.771956548312016
1884,20140416,18,PM2.5,70.0
1890,20140416,19,PCA,-15.6189123436295
1890,20140416,19,PM2.5,60.0
1896,20140416,20,PCA,1.7932952992186522
1896,20140416,20,PM2.5,69.0
1902,20140416,21,PCA,14.28719050258913
1902,20140416,21,PM2.5,74.0
1908,20140416,22,PCA,29.136810341040032
1908,20140416,22,PM2.5,80.0
1914,20140416,23,PCA,42.79308874981076
1914,20140416,23,PM2.5,97.0
1920,20140417,0,PCA,53.166626087752114
