,date,hour,type,奥体中心
1524,20140414,6,PCA,244.64225453750623
1524,20140414,6,PM2.5,243.0
1530,20140414,7,PCA,219.45868101222723
1530,20140414,7,PM2.5,203.0
1536,20140414,8,PCA,246.75794515557712
1536,20140414,8,PM2.5,239.0
1542,20140414,9,PCA,278.7189101410497
1542,20140414,9,PM2.5,277.0
1548,20140414,10,PCA,290.0119394562686
1548,20140414,10,PM2.5,294.0
1554,20140414,11,PCA,262.44891217856957
1554,20140414,11,PM2.5,264.0
1560,20140414,12,PCA,287.47463352197127
1560,20140414,12,PM2.5,286.0
1566,20140414,13,PCA,276.8414255766822
1566,20140414,13,PM2.5,278.0
1572,20140414,14,PCA,262.36261572051103
1572,20140414,14,PM2.5,268.0
1578,20140414,15,PCA,255.1155694748417
1578,20140414,15,PM2.5,265.0
1584,20140414,16,PCA,248.06802279305404
1584,20140414,16,PM2.5,261.0
1590,20140414,17,PCA,198.8912595008017
1590,20140414,17,PM2.5,188.0
1596,20140414,18,PCA,220.917276954638
1596,20140414,18,PM2.5,216.0
1602,20140414,19,PCA,246.94486864417038
1602,20140414,19,PM2.5,251.0
1608,20140414,20,PCA,257.83286967652566
1608,20140414,20,PM2.5,249.0
1614,20140414,21,PCA,274.3090328395214
1614,20140414,21,PM2.5,260.0
1620,20140414,22,PCA,217.16800907794632
1620,20140414,22,PM2.5,180.0
1626,20140414,23,PCA,164.28134508269193
1626,20140414,23,PM2.5,104.0
1632,20140415,0,PCA,128.36620105761207
1632,20140415,0,PM2.5,61.0
1638,20140415,1,PCA,121.73602487427692
1638,20140415,1,PM2.5,52.0
1644,20140415,2,PCA,138.81964796507543
1644,20140415,2,PM2.5,69.0
1650,20140415,3,PCA,120.22671088630014
1650,20140415,3,PM2.5,55.0
1656,20140415,4,PCA,121.08793849063389
1656,20140415,4,PM2.5,59.0
1818,20140416,7,PCA,18.629622827369346
1818,20140416,7,PM2.5,60.0
1824,20140416,8,PCA,41.40976877976604
1824,20140416,8,PM2.5,94.0
1830,20140416,9,PCA,34.22469319558477
1830,20140416,9,PM2.5,86.0
1836,20140416,10,PCA,70.62978889758372
1836,20140416,10,PM2.5,128.0
1842,20140416,11,PCA,22.543352592296856
1842,20140416,11,PM2.5,60.0
1848,20140416,12,PCA,27.838621099540507
1848,20140416,12,PM2.5,75.0
1854,20140416,13,PCA,19.962303473543223
1854,20140416,13,PM2.5,70.0
1860,20140416,14,PCA,-2.9946684505332772
1860,20140416,14,PM2.5,62.0
