,date,hour,type,八达岭
1272,20140412,12,PM2.5,65.0
1278,20140412,13,PCA,34.372029398364994
1278,20140412,13,PM2.5,92.0
1284,20140412,14,PCA,40.92479455255289
1284,20140412,14,PM2.5,95.0
1290,20140412,15,PCA,52.1036102087175
1290,20140412,15,PM2.5,107.0
1296,20140412,16,PCA,43.85710527967879
1296,20140412,16,PM2.5,92.0
1302,20140412,17,PCA,47.92448040238726
1302,20140412,17,PM2.5,93.0
1308,20140412,18,PCA,52.535670270998075
1308,20140412,18,PM2.5,100.0
1314,20140412,19,PCA,39.5303525947471
1314,20140412,19,PM2.5,82.0
1320,20140412,20,PCA,28.67311569982729
1320,20140412,20,PM2.5,61.0
1326,20140412,21,PCA,61.09499258893361
1326,20140412,21,PM2.5,101.0
1332,20140412,22,PCA,75.68335971226666
1332,20140412,22,PM2.5,116.0
1338,20140412,23,PCA,60.035810913477896
1338,20140412,23,PM2.5,94.0
1344,20140413,0,PCA,53.47938252991698
1344,20140413,0,PM2.5,84.0
1350,20140413,1,PCA,51.79628111965107
1350,20140413,1,PM2.5,83.0
1356,20140413,2,PCA,62.67637158169408
1356,20140413,2,PM2.5,96.0
1362,20140413,3,PCA,53.21633399568806
1362,20140413,3,PM2.5,81.0
1368,20140413,4,PCA,63.04290978620625
1368,20140413,4,PM2.5,97.0
1374,20140413,5,PCA,56.145200326893715
1374,20140413,5,PM2.5,89.0
1380,20140413,6,PCA,60.62552822272173
1380,20140413,6,PM2.5,97.0
1386,20140413,7,PCA,56.77158579658612
1386,20140413,7,PM2.5,94.0
1392,20140413,8,PCA,70.24397520124185
1392,20140413,8,PM2.5,101.0
1398,20140413,9,PCA,61.464276457377
1398,20140413,9,PM2.5,90.0
1404,20140413,10,PCA,64.05688970534922
1404,20140413,10,PM2.5,89.0
1410,20140413,11,PCA,89.7407044927629
1410,20140413,11,PM2.5,123.0
1416,20140413,12,PCA,67.32943634081836
1416,20140413,12,PM2.5,86.0
1422,20140413,13,PCA,85.54586688462551
1422,20140413,13,PM2.5,110.0
1428,20140413,14,PCA,103.63452576463473
1428,20140413,14,PM2.5,133.0
1434,20140413,15,PCA,106.34025041453879
1434,20140413,15,PM2.5,130.0
1440,20140413,16,PCA,143.68015189925413
1440,20140413,16,PM2.5,178.0
1446,20140413,17,PCA,141.87685501430343
1446,20140413,17,PM2.5,171.0
1452,20140413,18,PCA,136.02131980912895
1452,20140413,18,PM2.5,162.0
1458,20140413,19,PCA,118.89736120021708
1458,20140413,19,PM2.5,132.0
1464,20140413,20,PCA,131.76338310632326
1464,20140413,20,PM2.5,147.0
1470,20140413,21,PCA,117.4702548701926
1470,20140413,21,PM2.5,131.0
1476,20140413,22,PCA,120.06132124701448
1476,20140413,22,PM2.5,127.0
1482,20140413,23,PCA,119.43730688467035
1482,20140413,23,PM2.5,126.0
1488,20140414,0,PCA,127.46692606598279
1488,20140414,0,PM2.5,140.0
1494,20140414,1,PCA,128.58845174686542
1494,20140414,1,PM2.5,140.0
1500,20140414,2,PCA,138.69023897296168
1500,20140414,2,PM2.5,152.0
1506,20140414,3,PCA,136.60359829080727
1506,20140414,3,PM2.5,147.0
1512,20140414,4,PCA,153.15025824425408
1512,20140414,4,PM2.5,175.0
1518,20140414,5,PCA,145.4785411999661
1518,20140414,5,PM2.5,167.0
1524,20140414,6,PCA,135.9738309607989
1524,20140414,6,PM2.5,149.0
1530,20140414,7,PCA,136.61854487648458
1530,20140414,7,PM2.5,145.0
1536,20140414,8,PCA,163.0986282536599
1536,20140414,8,PM2.5,165.0
1542,20140414,9,PCA,156.35550418505318
1542,20140414,9,PM2.5,159.0
1548,20140414,10,PCA,169.45504462345633
1548,20140414,10,PM2.5,169.0
1554,20140414,11,PCA,162.25772690815668
1554,20140414,11,PM2.5,153.0
1560,20140414,12,PCA,143.99827168473357
1560,20140414,12,PM2.5,121.0
1566,20140414,13,PCA,166.59781640339102
1566,20140414,13,PM2.5,149.0
1572,20140414,14,PCA,209.2581158214118
1572,20140414,14,PM2.5,205.0
1578,20140414,15,PCA,229.39005863150544
1578,20140414,15,PM2.5,229.0
1584,20140414,16,PCA,212.73189567304743
1584,20140414,16,PM2.5,196.0
1590,20140414,17,PCA,236.81537990370714
1590,20140414,17,PM2.5,223.0
1596,20140414,18,PCA,258.5546314686699
1596,20140414,18,PM2.5,256.0
1602,20140414,19,PCA,232.1564039085782
1602,20140414,19,PM2.5,217.0
1608,20140414,20,PCA,171.9930016779305
1608,20140414,20,PM2.5,133.0
1614,20140414,21,PCA,206.53051292417913
1614,20140414,21,PM2.5,191.0
1620,20140414,22,PCA,196.56050413488745
1620,20140414,22,PM2.5,170.0
1626,20140414,23,PCA,205.73174439301067
1626,20140414,23,PM2.5,181.0
1632,20140415,0,PCA,202.0051538660216
1632,20140415,0,PM2.5,176.0
1638,20140415,1,PCA,218.4163375987937
1638,20140415,1,PM2.5,200.0
1644,20140415,2,PCA,204.29539777274917
1644,20140415,2,PM2.5,180.0
1650,20140415,3,PCA,211.45062968789503
1650,20140415,3,PM2.5,180.0
1656,20140415,4,PCA,193.19973319628167
1656,20140415,4,PM2.5,152.0
1662,20140415,5,PCA,188.38867387583335
1662,20140415,5,PM2.5,153.0
1818,20140416,7,PCA,-25.935658485441298
1818,20140416,7,PM2.5,26.0
1824,20140416,8,PCA,-15.893790000504694
1824,20140416,8,PM2.5,39.0
1830,20140416,9,PCA,-16.208143558510073
1830,20140416,9,PM2.5,39.0
1836,20140416,10,PCA,-16.442075837883724
1836,20140416,10,PM2.5,40.0
1842,20140416,11,PCA,-14.250383968665556
1842,20140416,11,PM2.5,41.0
