,date,hour,type,顺义
1254,20140412,9,PM2.5,104.0
1260,20140412,10,PCA,65.82141246752384
1260,20140412,10,PM2.5,135.0
1266,20140412,11,PCA,86.96270936921673
1266,20140412,11,PM2.5,159.0
1272,20140412,12,PCA,60.359536529327315
1272,20140412,12,PM2.5,119.0
1278,20140412,13,PCA,78.86438638078799
1278,20140412,13,PM2.5,143.0
1284,20140412,14,PCA,257.2486998550369
1284,20140412,14,PM2.5,399.0
1290,20140412,15,PCA,49.84005599461314
1290,20140412,15,PM2.5,95.0
1296,20140412,16,PCA,34.32100290134921
1296,20140412,16,PM2.5,73.0
1302,20140412,17,PCA,234.00428849316873
1302,20140412,17,PM2.5,354.0
1308,20140412,18,PCA,72.70117347208516
1308,20140412,18,PM2.5,108.0
1314,20140412,19,PCA,88.68031976563962
1314,20140412,19,PM2.5,116.0
1320,20140412,20,PCA,110.52655987428153
1320,20140412,20,PM2.5,141.0
1326,20140412,21,PCA,114.0201992557207
1326,20140412,21,PM2.5,134.0
1332,20140412,22,PCA,98.70444381121852
1332,20140412,22,PM2.5,113.0
1338,20140412,23,PCA,87.21626486323667
1338,20140412,23,PM2.5,91.0
1344,20140413,0,PCA,100.12879327851009
1344,20140413,0,PM2.5,102.0
1374,20140413,5,PCA,107.77358818782459
1374,20140413,5,PM2.5,118.0
1380,20140413,6,PCA,116.8656770168995
1380,20140413,6,PM2.5,127.0
1386,20140413,7,PCA,118.90380502367036
1386,20140413,7,PM2.5,127.0
1392,20140413,8,PCA,130.5077339330442
1392,20140413,8,PM2.5,139.0
1398,20140413,9,PCA,144.98192730441397
1398,20140413,9,PM2.5,160.0
1404,20140413,10,PCA,164.6788190769044
1404,20140413,10,PM2.5,190.0
1410,20140413,11,PCA,169.1105126008872
1410,20140413,11,PM2.5,200.0
1416,20140413,12,PCA,164.13998475787412
1416,20140413,12,PM2.5,187.0
1422,20140413,13,PCA,157.1678571890228
1422,20140413,13,PM2.5,184.0
1428,20140413,14,PCA,155.71088077611262
1428,20140413,14,PM2.5,196.0
1434,20140413,15,PCA,136.0183957813847
1434,20140413,15,PM2.5,168.0
1440,20140413,16,PCA,146.1924837871639
1440,20140413,16,PM2.5,180.0
1446,20140413,17,PCA,133.18962267183122
1446,20140413,17,PM2.5,176.0
1452,20140413,18,PCA,121.66099453719849
1452,20140413,18,PM2.5,155.0
1458,20140413,19,PCA,140.90610355827872
1458,20140413,19,PM2.5,173.0
1464,20140413,20,PCA,170.1506784739517
1464,20140413,20,PM2.5,206.0
1470,20140413,21,PCA,187.45664495511613
1470,20140413,21,PM2.5,224.0
1476,20140413,22,PCA,208.34821264304458
1476,20140413,22,PM2.5,239.0
